steplength,euler1,euler2,heun1,heun2
0.5,45.59642764265746,64.93959686579467,2.0462393043901295,1.7655659345229582
0.25,38.94592209726119,44.372583696567105,9.940877275940332,10.133851640841005
0.125,34.813585277178724,37.241030311811,23.751640523788158,23.867459204307288
0.0625,31.295470349113533,32.84549846297709,8.153121879598906,8.117448737424542
0.03125,27.612419883125636,28.69511823656838,2.1102218974697795,2.1019202544144604
0.015625,22.37931685928313,23.173514538542467,0.5298529165734788,0.5275975662255923
0.0078125,15.771407988186244,16.31505297417259,0.1325269951801524,0.13198290141745708
0.00390625,9.71452506798764,9.95661526841307,0.03313302725682997,0.033000155525653344
0.001953125,5.450610066469669,5.554089085127454,0.008283205003483519,0.008250439935085643
0.0009765625,2.8955111852647297,2.9420316324485682,0.002070784404795766,0.002062654572512798
