t,euler1,euler2,heun1,heun2
0.0,1,1,1,1
0.25,4.9,-6.512500000000001,5.77625,-1.8962500000000002
0.5,-2.585625000000002,9.790234375000002,11.74646640625,-5.960147656249999
0.75,16.396324218750003,-29.352133300781254,18.122190404785165,-10.656463678222659
1.0,-26.353018774414068,60.74210745544436,24.0578061144449,-15.36370601471589
1.25,74.67971069747932,-150.25328817338954,28.762681115774406,-19.456355020891692
1.5,-159.36736607186228,340.35775888752227,31.606464726155714,-22.387974663006553
1.75,387.2978842732151,-803.7957979856885,32.20352214212367,-23.764158399127815
2.0,-885.2156290999345,1861.2331284009608,30.4651971821839,-23.395573529173934
2.25,2081.067403102538,-4349.4291819867585,26.612824895035686,-21.323972256223144
2.5,-4829.462767180454,10121.079650462529,21.14960207573531,-17.81760071170119
2.75,11273.799395527923,-23597.312889220917,14.794883434765485,-13.33648923895933
3.0,-26247.128271113055,54968.676684157166,8.389479360779962,-8.472111836877065
3.25,61180.948717068495,-128097.72083329494,2.784420475984872,-3.8693274520718335
3.5,-142533.10963378084,298462.2274130847,-1.2720969929598773,-0.14090323809460736
3.75,332139.4001874713,-695460.4321882408,-3.234568269697652,2.2140516017478573
4.0,-773888.0883362707,1620465.4922129647,-2.833514398509389,2.8768855175734673
4.25,1803253.4585802052,-3775844.874318154,-0.11243830836725266,1.7524993786978442
4.5,-4201710.608054904,8798029.010530017,4.576659430482554,-1.0170889764569766
4.75,9790381.023244813,-20500196.090385634,10.618780962194245,-5.070635432888513
5.0,-22812413.906359334,47767227.0185526,17.216570859125778,-9.874768320714079
5.25,53154946.90764776,-111301832.58785775,23.49552427074646,-14.794157064080713
5.5,-123855638.8488378,259342970.51243815,28.619883776163043,-19.17552136001162
5.75,288594488.6287276,-604291797.2494509,31.903867223137553,-22.43437391666414
6.0,-672450335.4507177,1408052650.0692976,32.90342567646852,-24.132980477597567
6.25,1566868053.0577695,-3280885691.984871,31.47625669607515,-24.039140304820815
6.5,-3650939397.1511793,7644750225.695768,27.801965977389578,-22.157896056123835
6.75,8507007740.581332,-17812935822.830948,22.35953283939297,-18.731846815398626
7.0,-19822071092.658096,41505696411.69465,15.864897326037754,-14.209892563105143
7.25,46187157148.85923,-96711898208.01218,9.176797967934426,-9.188432939067901
7.5,-107620110593.17401,225347170633.04904,3.183242240314261,-4.332720484203021
7.75,250764258389.73297,-525078591791.297,-1.316383132637701,-0.2887378118991224
8.0,-584302626397.7754,1223478984731.004,-3.7179132463748608,2.4027295535371427
8.25,1361476158676.8389,-2850812905964.4316,-3.6935040184482273,3.378396355926765
8.5,-3172358375318.0596,6642643090834.902,-1.2363458584468585,2.5014916752121152
8.75,7391872121654.595,-15477938639941.965,3.3371009652559964,-0.119126311397042
9.0,-17223707727225.305,36064949036889.39,9.427822365155684,-4.142419021813177
9.25,40132743504147.81,-84034481547713.73,16.23268495423674,-9.039527310109303
9.5,-93512797980285.12,195807682461064.06,22.850321868166084,-14.163275393399784
9.75,217892987684808.25,-456249004035461.7,28.40051204677237,-18.833686400558427
10.0,-507709694369418.5,1063100032986320.8,32.14124408658351,-22.428211381829314
10.25,1183007936582113.8,-2477115939189462.0,33.5678979688782,-24.46470040588361
10.5,-2756511828584264.0,5771896515654933.0,32.48128988669757,-24.666059293871875
10.75,6422913343318648.0,-1.3449023059587088e+16,29.015408376310944,-22.997923592068652
11.0,-1.4965949134696152e+16,3.133739850787688e+16,23.620988738877422,-19.674231312533202
11.25,3.4871968767149144e+16,-7.301887586113157e+16,17.0069256030852,-15.129820825185567
11.5,-8.125473331175475e+16,1.7014035899256806e+17,10.047134831235306,-9.963558828472372
11.75,1.893306262588785e+17,-3.964418983000124e+17,3.6650990929407694,-4.859434230587738
12.0,-4.4115689731017075e+17,9.237442524414947e+17,-1.2886521588138642,-0.4960127897292823
12.25,1.0279341060131839e+18,-2.1524047977213235e+18,-4.149875396791919,2.5437627734913115
12.5,-2.395176257580328e+18,5.015291192350009e+18,-4.529659087295179,3.8504387232523354
12.75,5.580969900032605e+18,-1.168606656642484e+19,-2.36724876871365,3.243183273619633
13.0,-1.3004147367649567e+19,2.7229555883658027e+19,2.0605191074558213,0.7947655148462989
13.25,3.0300799285543387e+19,-6.344724372454858e+19,8.174608094707263,-3.1770642146470243
13.5,-7.060350912562255e+19,1.4783762002736988e+20,15.169479943198347,-8.150786249686966
13.75,1.6451234351531314e+20,-3.444745683554515e+20,22.119207257878912,-13.469574057324554
14.0,-3.833281306279794e+20,8.026558342978328e+20,28.10002491438985,-18.428021903783595
14.25,8.931880282713484e+20,-1.8702582063113705e+21,32.313101992157925,-22.3656878242031
14.5,-2.0812061263030822e+21,4.357864988715835e+21,34.191219467999424,-24.75504882617159
14.75,4.849392068705166e+21,-1.0154206085442274e+22,33.47511013302553,-25.27215643937714
15.0,-1.1299507116959106e+22,2.3660187154172588e+22,30.249189881183973,-23.84053121062349
15.25,2.6328838600237343e+22,-5.513030279866442e+22,24.93176360268636,-20.642351921445282
15.5,-6.134849377606327e+22,1.2845842118101855e+23,18.22081859805794,-16.095317011594478
15.75,1.4294734932051837e+23,-2.993193422605276e+23,11.002425198905783,-10.798110930432692
16.0,-3.330798104408412e+23,6.974402131645787e+23,4.233762655196539,-5.451592513002694
16.25,7.761050530188628e+23,-1.6250966184325995e+24,-1.1837896932345693,-0.7660783724685363
16.5,-1.8083925667070532e+24,3.786617073968278e+24,-4.524671692102731,2.6330148214000237
16.75,4.213712644442533e+24,-8.823148545283106e+24,-5.336293685278475,4.288636390393609
17.0,-9.818318531504518e+24,2.05587068170452e+25,-3.5003142563255856,3.9735387373114266
17.25,2.2877539813548084e+25,-4.790358269726477e+25,0.7502477189523149,1.7214295563841158
17.5,-5.330666613036406e+25,1.1161953208706241e+26,6.860523829300011,-2.1764262863589523
17.75,1.2420918844828357e+26,-2.600832597860399e+26,14.026201098949409,-7.2088467940159955
18.0,-2.8941825882060384e+26,6.060167137071623e+26,21.299376735974292,-12.711754563477863
18.25,6.743698238848571e+26,-1.4120718788074085e+27,27.713933802828905,-17.955795161158473
18.5,-1.5713405962005514e+27,3.2902508228216854e+27,32.41385701452557,-22.242993536463388
18.75,3.661360846551585e+27,-7.666571822265777e+27,34.7674484310262,-24.99964085689211
19.0,-8.531290594206717e+27,1.7863782024846857e+28,34.45220601474038,-25.85305202698491
19.25,1.9878652297095994e+28,-4.162417252838448e+28,31.498963612961127,-24.681926424442945
19.5,-4.631899626267319e+28,9.698795788388322e+28,26.289257593821567,-21.63350981469368
19.75,1.0792730728002897e+29,-2.259904138171464e+29,19.506076259098606,-17.1051391454288
20.0,-2.514800534679276e+29,5.265774045721176e+29,12.044343959996064,-11.692475207430563
20.25,5.859704914914909e+29,-1.2269713494584942e+30,4.892869187359353,-6.111164687571795
20.5,-1.3653624299971364e+30,2.8589504208128583e+30,-0.9966732138809666,-1.10223215579924
20.75,3.1814137269995213e+30,-6.66160421127463e+30,-4.836367942431258,2.6662925887552973
21.0,-7.412971882024185e+30,1.552211970680296e+31,-6.107447210063032,4.6884542644376195
21.25,1.7272872011999533e+31,-3.6167894781941726e+31,-4.630347326156514,4.6882822590134
21.5,-4.0247300582158546e+31,8.427435412602138e+31,-0.5899773695340818,2.657418595830499
21.75,9.377972597870846e+31,-1.9636660652154125e+32,5.487343718253052,-1.1426623156616258
22.0,-2.1851495323739237e+32,4.575513459186474e+32,12.802416985875023,-6.214283873497928
22.25,5.091589284359876e+32,-1.066134603334401e+33,20.38824147691443,-11.888726732423383
22.5,-1.1863847785485172e+33,2.484186753171732e+33,27.237827595846753,-17.414388861418878
