steplength,euler1,euler2,heun1,heun2
0.5,0.005026852110459645,0.005026852110459645,0.18572509828649006,0.18447734517479283
0.25,0.002912483045219686,0.002912483045219686,0.15019764463088695,0.14975949270338818
0.125,0.6556301729387596,0.6603898596953558,0.04291119427341208,0.0429667218394415
0.0625,0.6506464750840965,0.651843488250235,0.010905031480008513,0.010916758464728147
0.03125,0.6399265080032192,0.640779546519103,0.002732383960327644,0.0027355414420870863
0.015625,0.51982948407123,0.5203844134635814,0.0006834291172413397,0.000684223940968655
0.0078125,0.410939734291305,0.41132068889427353,0.00017088732422177553,0.000171087643485601
0.00390625,0.3415220657709314,0.34183329886433644,4.272523837147335e-05,4.277562900958547e-05
0.001953125,0.2853675647180799,0.2856456174142298,1.068172962451394e-05,1.0694367561259359e-05
0.0009765625,0.22158836810190607,0.22183541444216479,2.670484990061179e-06,2.6736496518913352e-06
