steplength,euler1,euler2,heun1,heun2
0.5,0.005183797768440612,0.005183797768440612,0.005186597467347092,0.005905550981178217
0.25,0.36351413446567327,0.3199600902467052,0.006198737450916862,0.005209031803682314
0.125,0.3907155410563677,0.3247258584794036,0.02594959175472362,0.025989026457246118
0.0625,0.3401989180765902,0.3146892421581639,0.15487782325335148,0.15532541113515821
0.03125,0.29937805955905616,0.29052267950915045,0.24162225863224665,0.2411573949900024
0.015625,0.25146609389318314,0.24852901693706544,0.07310374091547733,0.07301830642487864
0.0078125,0.18739930070321634,0.185667456554958,0.018638310589407944,0.01862620602621824
0.00390625,0.12123160190530245,0.12020466066162167,0.004669660736641595,0.004667060735636622
0.001953125,0.07022895348263794,0.06965331316905986,0.0011677390563065771,0.0011670928180446739
0.0009765625,0.037990548636016835,0.03768295652253027,0.0002919489175417706,0.000291783188239929
