t,euler1,euler2,heun1,heun2
0.0,1,1,1,1
0.25,2.2,-1.1399999999999997,2.295,-0.15500000000000003
0.5,1.4150000000000005,-0.9112500000000006,1.9313609374999998,-1.6678421874999996
0.75,0.4645625,0.5641031249999997,-0.26298950244140573,-0.6626019682617186
1.0,0.8118148437499997,0.6876123046875005,-0.836664642207183,2.2016130878877247
1.25,1.513123759765625,-0.27679422216796845,2.265123256718728,2.128529096245887
1.5,1.4121771439208988,-0.5402944031066899,4.760853236614324,-2.3459733835873395
1.75,0.9238109977920532,0.055848931881179675,1.2493199231794598,-4.551118727213645
2.0,0.8998134863739584,0.3440062408072615,-4.4359500105901875,1.2372926842688434
2.25,1.2222140420480614,-0.0010077086266027102,-1.9423062003718234,7.652157857919584
2.5,1.2987274804424431,-0.25858312280784856,8.156130057151856,2.009677867302675
2.75,1.0972668781870372,-0.0759348005645395,9.525757059921563,-10.85038368407113
3.0,1.008276832438909,0.1307263027236525,-5.406965357298084,-8.773367141700042
3.25,1.1264438894958473,0.047215038888573924,-15.265518470446484,12.222872949413077
3.5,1.2081679245666768,-0.10677709909403732,2.7571321875095762,19.884275359692207
3.75,1.1443931073249691,-0.07975027273617119,27.365902264759963,-8.669092418341641
4.0,1.0777313031166122,0.028395744568039616,12.199444834774305,-35.33072939798213
4.25,1.1079214831187139,0.03058204091928185,-33.77737478997373,-4.915955191247761
4.5,1.1582038870610767,-0.04139826884786646,-34.106448149822164,52.141265538696736
4.75,1.1474232860613627,-0.05635802904931908,36.940610013409874,34.59190623611014
5.0,1.1117441392349974,-0.010981164236706809,74.26159783444734,-62.88182739591536
5.25,1.1122705639992374,0.007540687400505508,-16.452532801100446,-86.20165201705164
5.5,1.1362519975494307,-0.019360604301459805,-121.26356816073239,52.7014444957329
5.75,1.1403961407635286,-0.036802660935236764,-35.053651699394706,160.79274871269135
6.0,1.1251205955335115,-0.02206599442106727,171.9649370203378,1.638273417706415
6.25,1.1194824449389464,-0.007627592790425908,145.68828455565853,-248.25581318739646
6.5,1.1286503597908082,-0.014784748632602929,-188.59569414704163,-131.2037541268118
6.75,1.1341433808797692,-0.02579142044452154,-321.0943513080316,316.52688008265
7.0,1.1290365493299845,-0.023064350217399276,128.05678021545748,367.1950357205336
7.25,1.1244021274229765,-0.015185433605710452,566.012090399122,-300.0820754103694
7.5,1.12695155868405,-0.015533569374299283,97.19780238555609,-724.2994128787633
7.75,1.1305317432095046,-0.02087279463785885,-824.0942865462512,89.50746979732787
