t,euler1,euler2,heun1,heun2
0.0,1,1,1,1
0.5,-0.2999999999999998,-3.6799999999999997,-4.086249999999998,-2.136249999999999
1.0,16.144999999999996,75.21049999999997,7.434939062499991,-3.4314359374999985
1.5,-285.4046249999999,-1354.4246874999994,21.23426150585938,51.882542521484325
2.0,5163.466684374997,24488.553890312487,-232.34783590253636,-236.49203362558308
2.5,-93343.20423351556,-442704.09438867937,969.1162836412107,522.1973174971431
3.0,1687467.1895070826,8003240.508231302,-1837.1863248445732,716.8237416874058
3.5,-30506163.420792162,-144683209.27041453,-4624.3451961307655,-12002.755990960834
4.0,551492816.8119438,2615594411.641485,53943.681833132134,55892.371744493335
4.5,-9969930420.483906,-47284921032.505646,-229683.6469696019,-127389.70777575482
5.0,180237184533.24844,854820513115.9575,452648.5912587618,-147268.88745881667
5.5,-3258341966127.843,-15453512318258.25,999972.7178773832,2774264.8235759693
6.0,58904561762457.78,279369808405809.62,-12514026.020494739,-13201120.862728361
6.5,-1064881290084658.6,-5050469319941333.0,54399139.326856315,31017983.296161305
7.0,1.92510075288446e+16,9.130278070211912e+16,-111227991.92856526,29600572.909424935
7.5,-3.480212248317073e+17,-1.6505788345301916e+18,-214430300.96235374,-640631339.7135187
8.0,6.291555013517313e+18,2.983929370001995e+19,2900670751.3754516,3115972958.342781
8.5,-1.1373922526494273e+20,-5.39437093151314e+20,-12875551340.902754,-7539236280.825817
9.0,2.0561866400397465e+21,9.75198610238368e+21,27265225131.39839,-5773198241.401293
9.5,-3.717190343814561e+22,-1.7629717004723698e+23,45519984827.62191,147790530571.6722
10.0,6.719965874246276e+23,3.1871140750567035e+24,-671791130286.1089,-735026758484.3408
10.5,-1.2148407042479748e+25,-5.7616898358055886e+25,3045475740073.2144,1829466988424.9238
11.0,2.196198558617306e+26,1.0416028100103323e+27,-6668533672544.785,1077437027735.2476
11.5,-3.970304988964378e+27,-1.8830177339279262e+28,-9544065106894.043,-34060154721647.56
12.0,7.177548516068501e+28,3.404134236400427e+29,155450861713125.0,173276972944608.97
12.5,-1.2975628533251544e+30,-6.154020586551238e+30,-719885112024805.8,-443249989502005.1
13.0,2.345744308882144e+31,1.1125286710121843e+32,1627613707028058.2,-187311212269824.5
13.5,-4.2406549698553205e+32,-2.0112380620386664e+33,1970056856321541.8,7841335746332730.0
