steplength,euler1,euler2,heun1,heun2
0.5,0.26463864921127467,0.26463864921127467,0.33447522070884744,0.46069613797169745
0.25,0.17617451329083586,0.17617451329083586,0.4702289409407106,0.3815609809577717
0.125,67.53511676959619,62.323167857065606,1.6650276829779915,1.6470666114265982
0.0625,49.42147890551436,46.52065335823968,11.2206405201869,11.188566243562851
0.03125,40.94179384247574,38.40323459918222,29.463912286989686,29.45000903024835
0.015625,36.47582489535886,34.42006277405648,10.379350330287721,10.375481430580338
0.0078125,33.57456400067229,31.78748776388684,2.6845930754028404,2.6846147540392002
0.00390625,30.782720999897347,29.196114894195656,0.6736862743384153,0.6737559764540189
0.001953125,26.165637120163566,25.39819406034852,0.1685014410031996,0.16851578205565199
0.0009765625,19.936374985771245,19.61374656705222,0.04212864752329026,0.04213159984755283
