steplength,euler1,euler2,heun1,heun2
0.5,2.7092671246003147e+161,1.0125275957294378e+162,41.645469664264745,42.05894653475595
0.25,0.31683269354485144,0.31703945633377584,0.5648657837898375,0.5636762664616422
0.125,0.31591348265004926,0.31509688172871037,0.1303021273505521,0.13061910840918603
0.0625,0.3140378730537521,0.31316926761458314,0.03202171179454885,0.032127330642998345
0.03125,0.3104790356262436,0.3095775647264206,0.007985601480184356,0.008011651480325144
0.015625,0.3034587114551686,0.3025444483676995,0.001995656324882454,0.002002131920772729
0.0078125,0.28946499631756006,0.2885476661072961,0.0004988760077924239,0.0005004940822597189
0.00390625,0.26169623854680546,0.2607817545843975,0.00012471517195975927,0.00012511946141029976
0.001953125,0.21214055818917055,0.21127719188848915,3.117830242998325e-05,3.127932521466104e-05
0.0009765625,0.14787789961991768,0.14718309509709243,7.794510876035181e-06,7.819758761437858e-06
