steplength,euler1,euler2,heun1,heun2
0.5,0.005015346041510794,0.005015346041510794,0.005243139399933316,0.005993326198006548
0.25,0.002730379768933223,0.0027303797689332237,0.005380270810759311,0.0038282988475321815
0.125,0.6619283161281545,0.6299650901248841,0.01680344563156605,0.016458263436284745
0.0625,0.48772028327509837,0.46086720328920483,0.11267702569112809,0.1122797597189831
0.03125,0.40467955113285375,0.3844659513007656,0.294104601847088,0.2948971700147123
0.015625,0.36079449190987406,0.3440575823749416,0.10381131046162992,0.10376961322791721
0.0078125,0.33233689932598587,0.31781689922392664,0.026847631239483416,0.026848952174863144
0.00390625,0.30478759592271143,0.2919024471558083,0.006736873081101606,0.006738256429156494
0.001953125,0.26162445228849446,0.2539363947989054,0.0016849709492817728,0.0016853135873043264
0.0009765625,0.19933981863238887,0.19609904867511496,0.0004212698357575267,0.00042135255537553793
