t,euler1,euler2,heun1,heun2
0.0,1,1,1,1
0.0625,0.65,1.5134375,0.647578125,1.666328125
0.125,0.3145703125,1.9935515136718749,0.29201367797851563,2.3245791076660156
0.1875,-0.005401947021484332,2.439703490257263,-0.06496900865125654,2.9715606364674567
0.25,-0.3091494452238082,2.8514517092470824,-0.42163871444532863,3.6041350336671947
0.3125,-0.5960222837043367,3.2285434554338766,-0.7762657266419817,4.219234472172536
0.375,-0.8654852018000956,3.5709066746077065,-1.1271302286123919,4.813875853726684
0.4375,-1.1171143657210374,3.87864117660573,-1.4725306403680185,5.385175276285195
0.5,-1.3505937805095203,4.15200945124092,-1.8107918706762223,5.930362020413803
0.5625,-1.565711361299993,4.3914271611932545,-2.1402734407640036,6.446791986876145
0.625,-1.7623547001566515,4.597453374267222,-2.4593774402122706,6.931960520241036
0.6875,-1.9405065644048078,4.770780595522714,-2.766556276456625,7.383514556316116
0.75,-2.100240161854065,4.912224657692583,-3.0603201803113556,7.799264034493536
0.8125,-2.2417142076484735,5.022714526029405,-3.339244431116301,8.17719251965788
0.875,-2.3651678266812426,5.103282071296219,-3.6019762664657584,8.515466982139497
0.9375,-2.47091532458999,5.15505186205106,-3.8472414430080533,8.812446688279334
1.0,-2.559340859313625,5.179231024692128,-4.073850416496373,9.066691158484183
1.0625,-2.6308930440545755,5.177099216948639,-4.2807041111177595,9.276967154173406
1.125,-2.6860795112608757,5.149998757640069,-4.466799250118826,9.442254659727402
1.1875,-2.725461465932187,5.099324952601677,-4.631233221874134,9.56175183042181
1.25,-2.7496482551726547,5.0265166537041885,-4.7732084577959535,9.634878882345769
1.3125,-2.759291979471831,4.933047084897006,-4.892036300851361,9.661280905433431
1.375,-2.7550821697027947,4.820414966193217,-4.9871403459228585,9.640829585960315
1.4375,-2.7377405522938183,4.690135963506309,-5.0580592358099725,9.57362383014462
1.5,-2.708015923465998,4.543734489257192,-5.104448899309078,9.459989285822852
1.5625,-2.6666791518432973,4.382735875709597,-5.126084220514378,9.300476764512988
1.625,-2.614518327142255,4.20865894007488,-5.122860131241208,9.0958595715111
1.6875,-2.5523340710446076,4.0230089575656836,-5.0947921212704745,8.847129756963058
1.75,-2.4809350247552815,3.8272710557828065,-5.042016163936298,8.555493306085829
1.8125,-2.401133526158194,3.6229040411012394,-4.964788057414326,8.222364291857732
1.875,-2.313741487910255,3.4113346650888428,-4.863482184901769,7.849358018528771
1.9375,-2.219566486266553,3.1939523364530498,-4.738589699698408,7.4382831891964605
2.0,-2.1194080689132098,2.972104281574749,-4.5907161439868664,6.9911331354256605
2.0625,-2.0140542886045814,2.7470911543607848,-4.420578512856811,6.510076151439903
2.125,-1.9042784679636486,2.520163093933092,-4.229001777808191,5.997444979754403
2.1875,-1.7908361994134643,2.2925162265783134,-4.01691488659002,5.455725499236416
2.25,-1.674462582867724,2.0652896064108814,-3.7853462587708573,4.887544670446825
2.3125,-1.5558697025238462,1.839562587358373,-3.535418798882807,4.295657796719055
2.375,-1.4357443428757775,1.6163526173628806,-3.268344451320513,3.6829351627501676
2.4375,-1.3147459428990875,1.3966134441080587,-2.9854183233991267,3.052348115498192
