steplength,euler1,euler2,heun1,heun2
0.5,2.9524953778948422e+141,8.17817951512437e+141,8.893218770685648e+95,1.0912240774133727e+96
0.25,0.3167381985006317,0.32054295294251367,3.08312729811997e+35,3.537597035239887e+35
0.125,0.30920293404134236,0.3122503019125455,16983.513903618365,16806.2827350711
0.0625,0.2984074749081066,0.29944624330903635,0.848390293494165,0.8473270588476569
0.03125,0.27854828190558645,0.2785612200769082,0.29867887721661374,0.2986029778926087
0.015625,0.24093298245438408,0.24044819211722657,0.07517023069112065,0.07500551189131384
0.0078125,0.18221020057423795,0.18156804978113145,0.01872676993884599,0.018684370828993584
0.00390625,0.11867892442296757,0.11813784462917352,0.004678531403668692,0.004667935904350018
0.001953125,0.06897143705773831,0.06861487391059849,0.0011695389576915954,0.001166890531406937
0.0009765625,0.03736779649764003,0.03716220430862328,0.0002923851122200028,0.00029172299759632874
