euler1,euler2,heun1,heun2
0.0,1,1,1,1
0.03125,1.0625,1.13671875,1.06146484375,1.11771484375
0.0625,1.1210205078125,1.2671908569335937,1.120731052017212,1.2331145969390869
0.09375,1.175553689956665,1.391324085688591,1.1776758593672738,1.3459602198785767
0.125,1.2261001910324394,1.5090419511504676,1.2321813087471043,1.4560179632082995
0.15625,1.2726688909594264,1.6202834280446612,1.2841344958244136,1.563059852086964
0.1875,1.3152766520790844,1.7250026370348612,1.3334278028613502,1.6668641584217958
0.21875,1.353948056932476,1.8231685084033151,1.3799591216378315,1.7672158601592647
0.25,1.388715137521979,1.9147644246478246,1.4236320649627858,1.8639070866855223
0.28125,1.4196170968599817,1.9997878433357488,1.4643561663351725,1.9567375494139394
0.3125,1.4467000236006804,2.0782499015580367,1.5020470673411939,2.0455149566678137
0.34375,1.470016600542754,2.1501750033261597,1.5366266923995129,2.13005541199885
0.375,1.4896258077809392,2.2156003912518902,1.5680234104924986,2.2101837951163272
0.40625,1.5055926212734594,2.274575703844253,1.5961721835484803,2.285734124637877
0.4375,1.5179877075799038,2.327162519749758,1.6210147011676357,2.356549901910466
0.46875,1.5268871155106007,2.3734338902512837,1.6424995014124317,2.4224844351893706
0.5,1.5323719654138157,2.4134738613278515,1.6605820774124,2.4834011435036243
0.53125,1.5345281368113128,2.4473769865620287,1.675224969562411,2.5391738395784977
0.5625,1.5334459550760062,2.475247832164038,1.686397843123454,2.5896869912289433
0.59375,1.5292198778276531,2.4972004753618067,1.694077551065166,2.634835960682538
0.625,1.5219481817038776,2.5133579973843663,1.6982481820199233,2.6745272213361693
0.65625,1.511732650144318,2.523851972242246,1.6989010932491484,2.7086785514974574
0.6875,1.498678262805433,2.5288219524829287,1.6960349285535288,2.737219204709568
0.71875,1.4828928872025386,2.5284149530721645,1.6896556210900346,2.7600900563065927
0.75,1.4644869731540495,2.5227849345230258,1.6797763810898836,2.7772437258958913
0.78125,1.443573250580724,2.512092286364223,1.6664176685028753,2.788644675513667
0.8125,1.4202664311900224,2.4965033120073916,1.6496071506247472,2.794269283250425
0.84375,1.3946829145525532,2.476189716040003,1.6293796447953017,2.7941058921937905
0.875,1.3669404990540464,2.451328094936291,1.6057770462859862,2.7881548345872713
0.90625,1.3371580981824358,2.4220994321432423,1.5788482415262792,2.7764284311548995
0.9375,1.3054554625855024,2.388688598462402,1.5486490068486134,2.7589509655931277
0.96875,1.2719529083101757,2.351283858611047,1.5152418929615514,2.7357586342827864
