euler1,euler2,heun1,heun2
0,1,1,1,1
1,3.0000000000000004,23.200000000000003,1.9400000000000033,3.740000000000003
2,-59.68000000000001,-651.136,-2.3563999999999847,-2.572399999999976
3,1831.9104,19718.57408,-3.837016000000011,-7.633575999999997
4,-55318.925311999985,-595695.8388223998,5.464492959999918,6.378777759999864
5,1671324.7299993595,17997249.20681267,7.492548022400042,15.445208662399995
6,-50494169.03116717,-543734251.5967138,-12.50350301254374,-15.399397490623553
7,1525533773.6293569,16427341424.415623,-14.410754618863544,-30.95151741659784
8,-46089544691.78523,-496304113431.85284,28.281729551701254,36.41634260107949
9,1392460899640.874,14994378375796.191,27.208870962414515,61.3586812737576
10,-42069136720005.45,-453011322677553.4,-63.32414539148224,-84.6967869005028
11,1270996022095646.5,1.368641322306118e+16,-50.18186092880595,-120.13768112489161
12,-3.839943041699587e+16,-4.134949780178312e+17,140.4969784648076,194.2786183968932
13,1.1601265705918523e+18,1.2492542352723497e+19,89.706562452636,231.8109454291931
14,-3.504983394747203e+19,-3.774256586687261e+20,-309.1241709621801,-440.3873874791426
15,1.0589283022098475e+21,1.140281327847299e+22,-153.40595550895773,-439.42723721593904
16,-3.1992424012665143e+22,-3.445026793418005e+23,674.8648041163581,987.9379245166148
17,9.665575960810646e+23,1.0408141673049717e+25,244.78911062486577,814.6151300097819
18,-2.920171307345022e+25,-3.144515836371607e+26,-1462.5175912964746,-2195.738792104642
19,8.82244420696265e+26,9.500235638409145e+27,-344.33204436740107,-1466.4280350362314
20,-2.6654436878134995e+28,-2.870218560878422e+29,3147.1222022012616,4838.842263117726
21,8.052859146785996e+29,8.671526581829623e+30,353.56886515447786,2533.445503628832
22,-2.432936052427768e+31,-2.61984833783405e+32,-6725.656972413113,-10579.77889039222
23,7.350405275081997e+32,7.915106121722419e+33,56.23999464747794,-4110.451404659176
24,-2.2207101437803746e+34,-2.391318001633731e+35,14275.856347258727,22960.47262019588
25,6.709226713535244e+35,7.224668497171267e+36,-1832.5340143042995,5973.697888510887
26,-2.0269967793719753e+37,-2.182722450897753e+38,-30096.304457321978,-49475.703402868996
27,6.123978394254295e+38,6.594458001108961e+39,7503.125767655019,-6748.660427697701
28,-1.8501811031447718e+40,-1.9923227669419845e+41,63012.13705345,105876.44299765553
29,5.589781501590093e+41,6.019220998917359e+42,-23495.09432660554,1626.2821245411324
30,-1.6887891235301358e+43,-1.8185317176000885e+44,-130993.16292751361,-225034.36820476555
31,5.102182800781014e+44,5.4941621324625725e+45,65613.36186327996,23550.551464894495
32,-1.5414754257872898e+46,-1.6599005255526598e+47,270303.4773692739,475056.91814385174
33,4.657117514375177e+47,5.014904344468332e+48,-171772.952537172,-107018.78126810904
34,-1.4070119561992217e+49,-1.5151067908598903e+50,-553403.7102369284,-995988.6176181077
35,4.2508754369561255e+50,4.577452389977987e+51,431185.487236366,346783.7180151236
36,-1.2842777846273233e+52,-1.3829434670161687e+53,1123465.8605907755,2073467.3822119925
37,3.880070005693486e+53,4.1781595307251214e+54,-1050481.403966031,-985245.989442341
38,-1.1722497600821581e+55,-1.2623087986274907e+56,-2259734.333074649,-4284985.814132304
39,3.541610068880887e+56,3.8136971347665116e+57,2501970.429431203,2606466.680875602
40,-1.069993981412237e+58,-1.1521971368289846e+59,4498535.3781855935,8786819.873186298
41,3.2326741171147157e+59,3.4810269279502914e+60,-5853008.649322313,-6589511.028289685
42,-9.766580120077571e+60,-1.0516905558769493e+62,-8850728.691196255,-17868949.35930363
43,2.950686762296663e+62,3.1773756658987874e+63,13491536.61064431,16137759.54279223
44,-8.914637736186012e+63,-9.599512010286597e+64,17176423.05534708,36009969.71428211
45,2.693297268381538e+65,2.900212015363625e+66,-30711797.913005743,-38591342.53078714
46,-8.137010600472142e+66,-8.762143039194366e+67,-32790436.250774447,-71839810.58155505
47,2.458359954895867e+68,2.6472254522287497e+69,69154426.39815159,90573352.26816557
48,-7.427216166444393e+69,-7.997818072109491e+70,61335239.25436671,141690219.47881067
49,2.2439163098647855e+71,2.4163070002484203e+72,-154216568.6096378,-209344397.21413207
50,-6.779337362531166e+72,-7.300165453637977e+73,-111745525.84741801,-275772022.4195082
51,2.0481786630349177e+74,2.2055316499521952e+75,340903768.20111495,477656404.61426795
52,-6.187973265495117e+75,-6.663369330234473e+76,196394346.50544387,528310698.25635517
53,1.869515283288033e+77,2.0131423111553072e+78,-747510563.732537,-1077748424.6296148
54,-5.648194076623703e+78,-6.082121167402142e+79,-327361766.5910611,-992590787.8616481
55,1.7064367760128114e+80,1.8375351652974805e+81,1626696845.1333358,2407817449.086833
56,-5.155500025363234e+81,-5.5515754960650666e+82,499981826.11679006,1818927703.2125893
57,1.5575836670388756e+83,1.6772462955026284e+84,-3514451239.4591427,-5331512459.266264
58,-4.705783857804055e+84,-5.067309519200887e+85,-640027257.2065372,-3222893375.4303226
59,1.421715069628842e+86,1.5309394829033736e+87,7540091922.980188,11708747063.549414
60,-4.295296597309012e+87,-4.625286242001775e+88,454350852.64621925,5439086724.437948
61,1.2976983400528268e+89,1.3973950674966786e+90,-16066661309.958212,-25517385671.085968
62,-3.9206162918548976e+90,-4.221820818205044e+91,963139886.5153904,-8488358287.486221
63,1.1844996355110015e+92,1.2754997806711432e+93,34003585171.44535,55207323205.61633
64,-3.578619487554846e+93,-3.853549832045761e+94,-6125754083.577126,11400998874.632324
65,1.0811752956920484e+95,1.164237464646698e+96,-71474922980.05173,-118606391424.402
66,-3.266455190555862e+96,-3.51740325975594e+97,21585642129.490234,-9978394239.24141
67,9.868639761214444e+97,1.0626806014609902e+99,149193869384.89874,253069940137.56824
68,-2.9815211002496425e+99,-3.2105788768725067e+100,-63742533952.37192,-9178274810.053162
69,9.007794677206752e+100,9.699825808854114e+101,-309178996951.4854,-536317931898.9313
70,-2.721441915669166e+102,-2.930518898005214e+103,172465124735.43304,83849136214.4978
71,8.222041427189461e+103,8.853706428136598e+104,635876702957.9204,1128862863834.8262
72,-2.4840495342263177e+105,-2.6748886543262225e+106,-442552143243.1106,-313525569325.2793
73,7.504829722804313e+106,8.081394352883506e+107,-1297241509212.262,-2359630109320.593
74,-2.267364977720916e+108,-2.441557131030117e+109,1095472712496.5334,948958512137.623
75,6.850180659761011e+109,7.376451344633382e+110,2623365343463.574,4897035478696.689
76,-2.069581894950645e+111,-2.228579202518462e+112,-2641149693473.255,-2602852553819.037
77,6.252636875794358e+112,6.733000774838931e+113,-5254040680162.47,-10087002236102.018
78,-1.8890515033943974e+114,-2.0341794172157583e+115,6239230370679.249,6737857951622.264
79,5.707217056361164e+115,6.1456786354272045e+116,10408773143911.516,20612214994391.54
80,-1.724268844438135e+117,-1.856737196841881e+118,-14498682392443.723,-16781980945391.836
81,5.209374408821989e+118,5.6095888227266565e+119,-20364228761317.33,-41758262048642.9
82,-1.573860237562456e+120,-1.6947733267574322e+121,33233109379951.242,40649206181470.695
83,4.754958758935297e+121,5.120262321993743e+122,39257503071939.484,83799940544721.56
84,-1.4365718289060133e+123,-1.5469376247612569e+124,-75284731447896.45,-96378647112336.44
85,4.340181953688424e+124,4.673619952288302e+125,-74333065749823.39,-166392116087290.47
86,-1.3112591387419636e+126,-1.4119976855432915e+127,168794623592730.5,224636748938230.53
87,3.9615862820523334e+127,4.265938361127195e+128,137598343595198.0,326393887850382.75
88,-1.1968775207318969e+129,-1.2888286069629417e+130,-374964063892943.5,-516205866587267.5
89,3.6160156504055874e+130,3.893818985436834e+131,-247208154791609.75,-631185356248599.8
90,-1.0924734534225659e+132,-1.1764036125079812e+133,825938664658041.6,1171957021034542.0
91,3.3005892723366937e+133,3.55415972005327e+134,425858597756502.9,1199750380005387.5
92,-9.971765913885633e+134,-1.073785491759822e+136,-1805066379998590.5,-2632737975469586.0
93,3.012677653494714e+136,3.2441290575894584e+137,-687745352595890.5,-2231861349923103.0
94,-9.101925097567543e+137,-9.8011878751015e+138,3915768406876493.5,5858705726697945.0
95,2.7498806712901873e+139,2.9611424840914382e+140,990603821947489.5,4036536075492993.0
96,-8.30796081628517e+140,-8.94622664398259e+141,-8434398247476576.0,-1.2925931810274824e+16
97,2.51000756671183e+142,2.702840933710117e+143,-1091518486590544.0,-7020876192683988.0
98,-7.583254331918827e+143,-8.165843996197771e+144,1.804227033673206e+16,2.8292013935421556e+16
99,2.2910586814644372e+145,2.467071122779984e+146,152876217716028.0,1.1514491010533396e+16
